noteId,tweetId,currentStatus,true_label_3way,true_label_text,agent_id,cluster,persona_name,helpfulnessLevel,parsed_rating,predicted_rating_score,agree,disagree,helpfulClear,helpfulGoodSources,helpfulAddressesClaim,helpfulImportantContext,helpfulUnbiasedLanguage,notHelpfulIncorrect,notHelpfulSourcesMissingOrUnreliable,notHelpfulMissingKeyPoints,notHelpfulHardToUnderstand,notHelpfulArgumentativeOrBiased,notHelpfulIrrelevantSources,notHelpfulOpinionSpeculation,notHelpfulNoteNotNeeded,confidence,changes_reader_understanding,rationale,raw_completion,api_error
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C00,0,strict unresolved-prone rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,72,The post implies Pfizer isn’t effective in Israel and may foreshadow the US. The note provides relevant context (unvaccinated overrepresentation among serious cases; low breakthrough rate) supported by sources.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":72,""rationale"":""The post implies Pfizer isn’t effective in Israel and may foreshadow the US. The note provides relevant context (unvaccinated overrepresentation among serious cases; low breakthrough rate) supported by sources.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C01,1,high-helpfulness positive-axis rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,72,"The post implies Pfizer “not working” in Israel. The note adds relevant context: unvaccinated people comprise a large share of serious cases and breakthrough rates are low in a study, undercutting that conclusion.","{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":72,""rationale"":""The post implies Pfizer “not working” in Israel. The note adds relevant context: unvaccinated people comprise a large share of serious cases and breakthrough rates are low in a study, undercutting that conclusion.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C02,2,positive high-context rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,72,Addresses the misleading implication that Pfizer isn’t working in Israel by adding context on unvaccinated share among serious cases and a low breakthrough infection rate in a study of vaccinated health workers.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":72,""rationale"":""Addresses the misleading implication that Pfizer isn’t working in Israel by adding context on unvaccinated share among serious cases and a low breakthrough infection rate in a study of vaccinated health workers.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C03,3,mainstream consensus rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,84,70,The note directly undercuts the post’s implication that Pfizer “is not working” by showing most serious cases are unvaccinated and citing reported low breakthrough rates among fully vaccinated health workers.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":0,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":84,""changes_reader_understanding"":70,""rationale"":""The note directly undercuts the post’s implication that Pfizer “is not working” by showing most serious cases are unvaccinated and citing reported low breakthrough rates among fully vaccinated health workers.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C04,4,skeptical low-score rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,72,"The post implies Pfizer isn’t working in Israel; the note adds relevant context (unvaccinated overrepresented among serious cases and low breakthrough rate), directly undermining the misleading takeaway.","{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":72,""rationale"":""The post implies Pfizer isn’t working in Israel; the note adds relevant context (unvaccinated overrepresented among serious cases and low breakthrough rate), directly undermining the misleading takeaway.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C05,5,low-agreement idiosyncratic rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,74,62,The post implies Pfizer “not working” in Israel. The note provides relevant context—unvaccinated share of severe cases and a low breakthrough rate in vaccinated health workers—supporting vaccine effectiveness and correcting the framing.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":0,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":74,""changes_reader_understanding"":62,""rationale"":""The post implies Pfizer “not working” in Israel. The note provides relevant context—unvaccinated share of severe cases and a low breakthrough rate in vaccinated health workers—supporting vaccine effectiveness and correcting the framing.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C06,6,high-helpfulness negative-axis rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,72,"The note adds key context: Israel’s serious cases skew unvaccinated and cites breakthrough-rate data, undermining the post’s implied conclusion that Pfizer is “not working so good.”","{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":72,""rationale"":""The note adds key context: Israel’s serious cases skew unvaccinated and cites breakthrough-rate data, undermining the post’s implied conclusion that Pfizer is “not working so good.”""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C07,7,mainstream consensus rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,78,70,The note directly counters the implication that Pfizer “isn’t working” in Israel by adding key context on unvaccinated shares among serious cases and a breakthrough rate from an Israeli study.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":70,""rationale"":""The note directly counters the implication that Pfizer “isn’t working” in Israel by adding key context on unvaccinated shares among serious cases and a breakthrough rate from an Israeli study.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C08,8,mainstream consensus rater,HELPFUL,HELPFUL,1.0,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,82,78,Counters the implied claim that Pfizer “not working” in Israel by adding context: many serious cases are unvaccinated and a study shows a low breakthrough infection rate.,"{""helpfulnessLevel"":""HELPFUL"",""agree"":1,""disagree"":0,""helpfulClear"":1,""helpfulGoodSources"":1,""helpfulAddressesClaim"":1,""helpfulImportantContext"":1,""helpfulUnbiasedLanguage"":1,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":0,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":82,""changes_reader_understanding"":78,""rationale"":""Counters the implied claim that Pfizer “not working” in Israel by adding context: many serious cases are unvaccinated and a study shows a low breakthrough infection rate.""}",
1430799665243504645,1430230421615386627,NEEDS_MORE_RATINGS,1,NEEDS_MORE_RATINGS,C09,9,skeptical low-score rater,NOT_HELPFUL,NOT_HELPFUL,0.0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,78,18,The post claims Pfizer “not working so good” and asks for context on vaccinating kids. The note offers Israel unvaccinated share and a breakthrough rate but doesn’t address efficacy vs severe disease or the claim about kids/“not working”.,"{""helpfulnessLevel"":""NOT_HELPFUL"",""agree"":0,""disagree"":1,""helpfulClear"":0,""helpfulGoodSources"":0,""helpfulAddressesClaim"":0,""helpfulImportantContext"":0,""helpfulUnbiasedLanguage"":0,""notHelpfulIncorrect"":0,""notHelpfulSourcesMissingOrUnreliable"":0,""notHelpfulMissingKeyPoints"":1,""notHelpfulHardToUnderstand"":0,""notHelpfulArgumentativeOrBiased"":0,""notHelpfulIrrelevantSources"":0,""notHelpfulOpinionSpeculation"":0,""notHelpfulNoteNotNeeded"":0,""confidence"":78,""changes_reader_understanding"":18,""rationale"":""The post claims Pfizer “not working so good” and asks for context on vaccinating kids. The note offers Israel unvaccinated share and a breakthrough rate but doesn’t address efficacy vs severe disease or the claim about kids/“not working”.""}",
